Format Version,1.24,Take Name,Take 2024-08-09 04.43.38 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-08-09 04.43.38.923 PM,Capture Start Frame,6742858,Total Frames in Take,3045,Total Exported Frames,3045,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 006,Rigid Body 006,Rigid Body 006,Rigid Body 006,Rigid Body 006,Rigid Body 006,Rigid Body 006,Rigid Body 006:Marker 001,Rigid Body 006:Marker 001,Rigid Body 006:Marker 001,Rigid Body 006:Marker 002,Rigid Body 006:Marker 002,Rigid Body 006:Marker 002,Rigid Body 006:Marker 003,Rigid Body 006:Marker 003,Rigid Body 006:Marker 003,Rigid Body 006:Marker 004,Rigid Body 006:Marker 004,Rigid Body 006:Marker 004,Rigid Body 006:Marker 001,Rigid Body 006:Marker 001,Rigid Body 006:Marker 001,Rigid Body 006:Marker 002,Rigid Body 006:Marker 002,Rigid Body 006:Marker 002,Rigid Body 006:Marker 003,Rigid Body 006:Marker 003,Rigid Body 006:Marker 003,Rigid Body 006:Marker 004,Rigid Body 006:Marker 004,Rigid Body 006:Marker 004,Unlabeled 4101,Unlabeled 4101,Unlabeled 4101,Unlabeled 4102,Unlabeled 4102,Unlabeled 4102,Unlabeled 4103,Unlabeled 4103,Unlabeled 4103,Unlabeled 4104,Unlabeled 4104,Unlabeled 4104,Unlabeled 4105,Unlabeled 4105,Unlabeled 4105,Unlabeled 4106,Unlabeled 4106,Unlabeled 4106,Unlabeled 4107,Unlabeled 4107,Unlabeled 4107,Unlabeled 4108,Unlabeled 4108,Unlabeled 4108,Unlabeled 4109,Unlabeled 4109,Unlabeled 4109,Unlabeled 4110,Unlabeled 4110,Unlabeled 4110,Unlabeled 4111,Unlabeled 4111,Unlabeled 4111,Unlabeled 4112,Unlabeled 4112,Unlabeled 4112,Unlabeled 4113,Unlabeled 4113,Unlabeled 4113,Unlabeled 4114,Unlabeled 4114,Unlabeled 4114,Unlabeled 4118,Unlabeled 4118,Unlabeled 4118,Unlabeled 4119,Unlabeled 4119,Unlabeled 4119,Unlabeled 4120,Unlabeled 4120,Unlabeled 4120,Unlabeled 4121,Unlabeled 4121,Unlabeled 4121,Unlabeled 4122,Unlabeled 4122,Unlabeled 4122,Unlabeled 4125,Unlabeled 4125,Unlabeled 4125,Unlabeled 4126,Unlabeled 4126,Unlabeled 4126,Unlabeled 4127,Unlabeled 4127,Unlabeled 4127,Unlabeled 4128,Unlabeled 4128,Unlabeled 4128,Unlabeled 4129,Unlabeled 4129,Unlabeled 4129,Unlabeled 4130,Unlabeled 4130,Unlabeled 4130,Unlabeled 4132,Unlabeled 4132,Unlabeled 4132,Unlabeled 4133,Unlabeled 4133,Unlabeled 4133,Unlabeled 4134,Unlabeled 4134,Unlabeled 4134,Unlabeled 4136,Unlabeled 4136,Unlabeled 4136,Unlabeled 4140,Unlabeled 4140,Unlabeled 4140,Unlabeled 4141,Unlabeled 4141,Unlabeled 4141,Unlabeled 4144,Unlabeled 4144,Unlabeled 4144,Unlabeled 4147,Unlabeled 4147,Unlabeled 4147,Unlabeled 4149,Unlabeled 4149,Unlabeled 4149,Unlabeled 4152,Unlabeled 4152,Unlabeled 4152,Unlabeled 4153,Unlabeled 4153,Unlabeled 4153,Unlabeled 4154,Unlabeled 4154,Unlabeled 4154,Unlabeled 4156,Unlabeled 4156,Unlabeled 4156,Unlabeled 4160,Unlabeled 4160,Unlabeled 4160,Unlabeled 4161,Unlabeled 4161,Unlabeled 4161,Unlabeled 4166,Unlabeled 4166,Unlabeled 4166,Unlabeled 4168,Unlabeled 4168,Unlabeled 4168,Unlabeled 4170,Unlabeled 4170,Unlabeled 4170,Unlabeled 4171,Unlabeled 4171,Unlabeled 4171,Unlabeled 4172,Unlabeled 4172,Unlabeled 4172,Unlabeled 4173,Unlabeled 4173,Unlabeled 4173,Unlabeled 4174,Unlabeled 4174,Unlabeled 4174,Unlabeled 4177,Unlabeled 4177,Unlabeled 4177,Unlabeled 4178,Unlabeled 4178,Unlabeled 4178,Unlabeled 4180,Unlabeled 4180,Unlabeled 4180,Unlabeled 4181,Unlabeled 4181,Unlabeled 4181,Unlabeled 4182,Unlabeled 4182,Unlabeled 4182,Unlabeled 4183,Unlabeled 4183,Unlabeled 4183,Unlabeled 4184,Unlabeled 4184,Unlabeled 4184,Unlabeled 4185,Unlabeled 4185,Unlabeled 4185,Unlabeled 4187,Unlabeled 4187,Unlabeled 4187,Unlabeled 4188,Unlabeled 4188,Unlabeled 4188,Unlabeled 4190,Unlabeled 4190,Unlabeled 4190,Unlabeled 4191,Unlabeled 4191,Unlabeled 4191,Unlabeled 4193,Unlabeled 4193,Unlabeled 4193,Unlabeled 4194,Unlabeled 4194,Unlabeled 4194,Unlabeled 4199,Unlabeled 4199,Unlabeled 4199,Unlabeled 4200,Unlabeled 4200,Unlabeled 4200,Unlabeled 4201,Unlabeled 4201,Unlabeled 4201,Unlabeled 4202,Unlabeled 4202,Unlabeled 4202,Unlabeled 4204,Unlabeled 4204,Unlabeled 4204,Unlabeled 4205,Unlabeled 4205,Unlabeled 4205,Unlabeled 4207,Unlabeled 4207,Unlabeled 4207,Unlabeled 4208,Unlabeled 4208,Unlabeled 4208,Unlabeled 4209,Unlabeled 4209,Unlabeled 4209,Unlabeled 4210,Unlabeled 4210,Unlabeled 4210,Unlabeled 4211,Unlabeled 4211,Unlabeled 4211,Unlabeled 4212,Unlabeled 4212,Unlabeled 4212,Unlabeled 4214,Unlabeled 4214,Unlabeled 4214,Unlabeled 4215,Unlabeled 4215,Unlabeled 4215,Unlabeled 4216,Unlabeled 4216,Unlabeled 4216,Unlabeled 4217,Unlabeled 4217,Unlabeled 4217,Unlabeled 4218,Unlabeled 4218,Unlabeled 4218,Unlabeled 4219,Unlabeled 4219,Unlabeled 4219,Unlabeled 4220,Unlabeled 4220,Unlabeled 4220,Unlabeled 4221,Unlabeled 4221,Unlabeled 4221,Unlabeled 4222,Unlabeled 4222,Unlabeled 4222,Unlabeled 4224,Unlabeled 4224,Unlabeled 4224,Unlabeled 4225,Unlabeled 4225,Unlabeled 4225,Unlabeled 4226,Unlabeled 4226,Unlabeled 4226,Unlabeled 4227,Unlabeled 4227,Unlabeled 4227,Unlabeled 4228,Unlabeled 4228,Unlabeled 4228,Unlabeled 4229,Unlabeled 4229,Unlabeled 4229,Unlabeled 4230,Unlabeled 4230,Unlabeled 4230,Unlabeled 4231,Unlabeled 4231,Unlabeled 4231,Unlabeled 4232,Unlabeled 4232,Unlabeled 4232,Unlabeled 4234,Unlabeled 4234,Unlabeled 4234,Unlabeled 4235,Unlabeled 4235,Unlabeled 4235,Unlabeled 4236,Unlabeled 4236,Unlabeled 4236,Unlabeled 4237,Unlabeled 4237,Unlabeled 4237
,ID,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,BACA3E29568611EFA6D181647A6833AC,"DD5EE1B569011EFA6D181647A6833AC","DD5EE1B569011EFA6D181647A6833AC","DD5EE1B569011EFA6D181647A6833AC","DD5EE1C569011EFA6D181647A6833AC","DD5EE1C569011EFA6D181647A6833AC","DD5EE1C569011EFA6D181647A6833AC","DD5EE1A569011EFA6D181647A6833AC","DD5EE1A569011EFA6D181647A6833AC","DD5EE1A569011EFA6D181647A6833AC","DD5EE19569011EFA6D181647A6833AC","DD5EE19569011EFA6D181647A6833AC","DD5EE19569011EFA6D181647A6833AC","1342892817B71559211EF","1342892817B71559211EF","1342892817B71559211EF","1380A92817B71559211EF","1380A92817B71559211EF","1380A92817B71559211EF","138CF92817B71559211EF","138CF92817B71559211EF","138CF92817B71559211EF","138D092817B71559211EF","138D092817B71559211EF","138D092817B71559211EF","138D192817B71559211EF","138D192817B71559211EF","138D192817B71559211EF","138D292817B71559211EF","138D292817B71559211EF","138D292817B71559211EF","138D392817B71559211EF","138D392817B71559211EF","138D392817B71559211EF","138D492817B71559211EF","138D492817B71559211EF","138D492817B71559211EF","138D592817B71559211EF","138D592817B71559211EF","138D592817B71559211EF","138D692817B71559211EF","138D692817B71559211EF","138D692817B71559211EF","138D792817B71559211EF","138D792817B71559211EF","138D792817B71559211EF","138D892817B71559211EF","138D892817B71559211EF","138D892817B71559211EF","138D992817B71559211EF","138D992817B71559211EF","138D992817B71559211EF","138DA92817B71559211EF","138DA92817B71559211EF","138DA92817B71559211EF","138DE92817B71559211EF","138DE92817B71559211EF","138DE92817B71559211EF","138DF92817B71559211EF","138DF92817B71559211EF","138DF92817B71559211EF","138E092817B71559211EF","138E092817B71559211EF","138E092817B71559211EF","138E192817B71559211EF","138E192817B71559211EF","138E192817B71559211EF","138E292817B71559211EF","138E292817B71559211EF","138E292817B71559211EF","138E592817B71559211EF","138E592817B71559211EF","138E592817B71559211EF","138E692817B71559211EF","138E692817B71559211EF","138E692817B71559211EF","138E792817B71559211EF","138E792817B71559211EF","138E792817B71559211EF","138E892817B71559211EF","138E892817B71559211EF","138E892817B71559211EF","138E992817B71559211EF","138E992817B71559211EF","138E992817B71559211EF","138EA92817B71559211EF","138EA92817B71559211EF","138EA92817B71559211EF","138EC92817B71559211EF","138EC92817B71559211EF","138EC92817B71559211EF","138ED92817B71559211EF","138ED92817B71559211EF","138ED92817B71559211EF","138EE92817B71559211EF","138EE92817B71559211EF","138EE92817B71559211EF","138F092817B71559211EF","138F092817B71559211EF","138F092817B71559211EF","138F492817B71559211EF","138F492817B71559211EF","138F492817B71559211EF","138F692817B71559211EF","138F692817B71559211EF","138F692817B71559211EF","138F992817B71559211EF","138F992817B71559211EF","138F992817B71559211EF","138FE92817B71559211EF","138FE92817B71559211EF","138FE92817B71559211EF","1390592817B71559211EF","1390592817B71559211EF","1390592817B71559211EF","1390A92817B71559211EF","1390A92817B71559211EF","1390A92817B71559211EF","1390B92817B71559211EF","1390B92817B71559211EF","1390B92817B71559211EF","1390C92817B71559211EF","1390C92817B71559211EF","1390C92817B71559211EF","1390E92817B71559211EF","1390E92817B71559211EF","1390E92817B71559211EF","1391592817B71559211EF","1391592817B71559211EF","1391592817B71559211EF","1391692817B71559211EF","1391692817B71559211EF","1391692817B71559211EF","1391C92817B71559211EF","1391C92817B71559211EF","1391C92817B71559211EF","1392192817B71559211EF","1392192817B71559211EF","1392192817B71559211EF","1392392817B71559211EF","1392392817B71559211EF","1392392817B71559211EF","1392492817B71559211EF","1392492817B71559211EF","1392492817B71559211EF","1392592817B71559211EF","1392592817B71559211EF","1392592817B71559211EF","1392692817B71559211EF","1392692817B71559211EF","1392692817B71559211EF","1392892817B71559211EF","1392892817B71559211EF","1392892817B71559211EF","1392E92817B71559211EF","1392E92817B71559211EF","1392E92817B71559211EF","1392F92817B71559211EF","1392F92817B71559211EF","1392F92817B71559211EF","1393192817B71559211EF","1393192817B71559211EF","1393192817B71559211EF","1393292817B71559211EF","1393292817B71559211EF","1393292817B71559211EF","1393392817B71559211EF","1393392817B71559211EF","1393392817B71559211EF","1393492817B71559211EF","1393492817B71559211EF","1393492817B71559211EF","1393692817B71559211EF","1393692817B71559211EF","1393692817B71559211EF","1393792817B71559211EF","1393792817B71559211EF","1393792817B71559211EF","1393992817B71559211EF","1393992817B71559211EF","1393992817B71559211EF","1393A92817B71559211EF","1393A92817B71559211EF","1393A92817B71559211EF","1393C92817B71559211EF","1393C92817B71559211EF","1393C92817B71559211EF","1393D92817B71559211EF","1393D92817B71559211EF","1393D92817B71559211EF","1393F92817B71559211EF","1393F92817B71559211EF","1393F92817B71559211EF","1394092817B71559211EF","1394092817B71559211EF","1394092817B71559211EF","1394592817B71559211EF","1394592817B71559211EF","1394592817B71559211EF","1394692817B71559211EF","1394692817B71559211EF","1394692817B71559211EF","1394792817B71559211EF","1394792817B71559211EF","1394792817B71559211EF","1394892817B71559211EF","1394892817B71559211EF","1394892817B71559211EF","1394A92817B71559211EF","1394A92817B71559211EF","1394A92817B71559211EF","1394B92817B71559211EF","1394B92817B71559211EF","1394B92817B71559211EF","1394D92817B71559211EF","1394D92817B71559211EF","1394D92817B71559211EF","1394E92817B71559211EF","1394E92817B71559211EF","1394E92817B71559211EF","1394F92817B71559211EF","1394F92817B71559211EF","1394F92817B71559211EF","1395092817B71559211EF","1395092817B71559211EF","1395092817B71559211EF","1395192817B71559211EF","1395192817B71559211EF","1395192817B71559211EF","1395292817B71559211EF","1395292817B71559211EF","1395292817B71559211EF","1395492817B71559211EF","1395492817B71559211EF","1395492817B71559211EF","1395592817B71559211EF","1395592817B71559211EF","1395592817B71559211EF","1395692817B71559211EF","1395692817B71559211EF","1395692817B71559211EF","1395792817B71559211EF","1395792817B71559211EF","1395792817B71559211EF","1395892817B71559211EF","1395892817B71559211EF","1395892817B71559211EF","1395992817B71559211EF","1395992817B71559211EF","1395992817B71559211EF","1395A92817B71559211EF","1395A92817B71559211EF","1395A92817B71559211EF","1395B92817B71559211EF","1395B92817B71559211EF","1395B92817B71559211EF","1395C92817B71559211EF","1395C92817B71559211EF","1395C92817B71559211EF","1395E92817B71559211EF","1395E92817B71559211EF","1395E92817B71559211EF","1395F92817B71559211EF","1395F92817B71559211EF","1395F92817B71559211EF","1396092817B71559211EF","1396092817B71559211EF","1396092817B71559211EF","1396192817B71559211EF","1396192817B71559211EF","1396192817B71559211EF","1396292817B71559211EF","1396292817B71559211EF","1396292817B71559211EF","1396392817B71559211EF","1396392817B71559211EF","1396392817B71559211EF","1396492817B71559211EF","1396492817B71559211EF","1396492817B71559211EF","1396592817B71559211EF","1396592817B71559211EF","1396592817B71559211EF","1396692817B71559211EF","1396692817B71559211EF","1396692817B71559211EF","1396892817B71559211EF","1396892817B71559211EF","1396892817B71559211EF","1396992817B71559211EF","1396992817B71559211EF","1396992817B71559211EF","1396A92817B71559211EF","1396A92817B71559211EF","1396A92817B71559211EF","1396B92817B71559211EF","1396B92817B71559211EF","1396B92817B71559211EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.023970,-0.980525,-0.032701,0.192161,-16.037359,249.339279,-12.815092,-70.871552,251.931992,-49.423260,33.535084,247.292984,24.703941,-55.041630,247.839722,45.318615,28.228729,250.292419,-71.859688,-70.907402,251.806137,-49.703960,33.590260,247.142792,24.854187,-55.052177,247.984711,45.624691,28.216696,250.427002,-72.027443,-10.520117,676.142212,-5.708822,30.460934,582.391235,-2.362781,62.826664,-6.030872,85.907883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000,-0.023985,-0.980524,-0.032727,0.192163,-16.037001,249.335800,-12.814522,-70.871239,251.932327,-49.422367,33.535519,247.285858,24.704237,-55.041096,247.835205,45.319267,28.228910,250.289795,-71.859268,-70.908539,251.805878,-49.702633,33.590515,247.133362,24.856504,-55.049896,247.979446,45.623940,28.217381,250.424240,-72.027328,-10.522399,676.141663,-5.709506,30.465525,582.396179,-2.362485,63.133366,-7.044959,86.372856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.020000,-0.023975,-0.980523,-0.032714,0.192171,-16.036833,249.334259,-12.816809,-70.871689,251.928574,-49.423882,33.536308,247.286407,24.701248,-55.040024,247.833893,45.317604,28.228168,250.288162,-71.862236,-70.906998,251.801910,-49.703896,33.590893,247.135101,24.853180,-55.050583,247.979828,45.623859,28.216267,250.423843,-72.032455,-10.517973,676.130798,-5.724348,30.463488,582.390381,-2.366356,63.661827,-7.261267,86.688126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030000,-0.023977,-0.980523,-0.032723,0.192170,-16.035744,249.335159,-12.817204,-70.870522,251.930450,-49.424335,33.537319,247.286331,24.700914,-55.039043,247.834045,45.317120,28.229362,250.289764,-71.862556,-70.905678,251.803818,-49.704155,33.591633,247.134354,24.852461,-55.049572,247.980637,45.623856,28.218018,250.426208,-72.032234,-10.520636,676.143616,-5.716116,30.466629,582.389771,-2.368378,63.153221,-7.106222,86.423401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.040000,-0.023988,-0.980522,-0.032722,0.192175,-16.035938,249.339523,-12.816960,-70.871025,251.935837,-49.423531,33.537464,247.289810,24.700644,-55.038670,247.839615,45.317768,28.228579,250.292801,-71.862755,-70.907745,251.810913,-49.704529,33.591991,247.139786,24.852858,-55.048042,247.985062,45.623997,28.216747,250.427811,-72.031616,-10.524075,676.148071,-5.715466,30.470894,582.384033,-2.372596,62.644615,-6.951177,86.158669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.050000,-0.023994,-0.980521,-0.032703,0.192181,-16.032686,249.337418,-12.819140,-70.868248,251.932495,-49.425095,33.541187,247.289001,24.697903,-55.034676,247.839935,45.316143,28.231056,250.288223,-71.865555,-70.904594,251.808014,-49.706551,33.595219,247.140305,24.849312,-55.043434,247.983215,45.622089,28.218987,250.421494,-72.033859,-10.524893,676.145569,-5.719098,30.458546,582.390625,-2.364203,63.291393,-7.176228,86.109810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
